iter	RMSE
0	0.4782070474
1	0.4719670229
2	0.4667503585
3	0.4612233063
4	0.4561643026
5	0.4517363452
6	0.4457865518
7	0.4401228164
8	0.4351302845
9	0.4300595522
10	0.4255840491
11	0.4213542072
12	0.4182550577
13	0.4144052494
14	0.4107812544
15	0.4072625823
16	0.4030761253
17	0.4007648376
18	0.3971579873
19	0.3933597117
20	0.3908903681
21	0.3875051173
22	0.3854215283
23	0.3826676319
24	0.3794580989
25	0.3767548041
26	0.3748055607
27	0.3728116949
28	0.3708684733
29	0.3685421883
30	0.3662542294
31	0.3636685302
32	0.3623947476
33	0.3602509593
34	0.3591975955
35	0.3570744213
36	0.3544858343
37	0.3519346045
38	0.3495657777
39	0.3477318309
40	0.3461241271
41	0.3441307765
42	0.3423729252
43	0.3408302468
44	0.3400461428
45	0.3395684942
46	0.3389283514
47	0.337437469
48	0.3364706935
49	0.3348618229
50	0.3342869529
51	0.3326928384
52	0.3319700826
53	0.3303200003
54	0.3294961051
55	0.3276454943
56	0.3263992707
57	0.3247066432
58	0.3230149392
59	0.3208277774
60	0.3193639972
61	0.3188188509
62	0.3174608803
63	0.3162436623
64	0.3154717419
65	0.3139728115
66	0.3125114545
67	0.3116590037
68	0.3106679519
69	0.3101084971
70	0.3096011686
71	0.3093032199
72	0.3085024269
73	0.3064324137
74	0.3058027564
75	0.3051971681
76	0.3050052911
77	0.303705746
78	0.3027743314
79	0.3013191333
80	0.300800849
81	0.2996042111
82	0.2988964865
83	0.2975995226
84	0.2972372561
85	0.295655066
86	0.2945163565
87	0.2928330032
88	0.2922431068
89	0.2913425117
90	0.2898723941
91	0.2890637228
92	0.2887084361
93	0.2884707238
94	0.2879693825
95	0.287701051
96	0.2868156245
97	0.2855789746
98	0.2853758247
99	0.284431696
100	0.2835558626
101	0.2828085371
102	0.282706338
103	0.2815703091
104	0.2806884557
105	0.2803555002
106	0.2799226169
107	0.2786394349
108	0.2774716443
109	0.2770860235
110	0.2769538387
111	0.2759299321
112	0.2748213028
113	0.2739360026
114	0.2728569299
115	0.2725990271
116	0.2719517586
117	0.2712618155
118	0.27039207
119	0.2692980085
120	0.2684313049
121	0.2672841112
122	0.2663443963
123	0.2651363859
124	0.2642760947
125	0.2638623486
126	0.2636876568
127	0.2625012529
128	0.2620555889
129	0.2615394377
130	0.2603273601
131	0.26011216
132	0.2591841219
133	0.2582141535
134	0.2572129783
135	0.2564624602
136	0.256276407
137	0.2560909674
138	0.2550917763
139	0.2543150164
140	0.253292853
141	0.2523246718
142	0.2506760522
143	0.2504540699
144	0.2492237814
145	0.2480434558
146	0.2472004808
147	0.2465763651
148	0.2457911356
149	0.2451881652
150	0.24473345
151	0.2441808021
152	0.2436382783
153	0.2424972384
154	0.2420506376
155	0.2408225899
156	0.2400724472
157	0.2395210413
158	0.2392908502
159	0.2386826316
160	0.2384461727
161	0.2378511918
162	0.2376051449
163	0.2372522964
164	0.2368044165
165	0.2364893946
166	0.2355816968
167	0.2348030194
168	0.233702737
169	0.2325782051
170	0.2323242512
171	0.2312935343
172	0.2300980871
173	0.2297297035
174	0.2288204929
175	0.2276337416
176	0.2274689352
177	0.2272203081
178	0.2266153721
179	0.2256665689
180	0.2254477643
181	0.2252783903
182	0.2244226228
183	0.2235445804
184	0.223053041
185	0.2228211864
186	0.2217271467
187	0.2206426834
188	0.2199496903
189	0.2195937676
190	0.2190403592
191	0.2188364032
192	0.2181841764
193	0.2172575942
194	0.2161429098
195	0.2159412836
196	0.2157577583
197	0.2152566085
198	0.2148239948
199	0.2146384492
200	0.2137061098
201	0.212580569
202	0.2121557905
203	0.2112458138
204	0.2106935039
205	0.2098368763
206	0.2092514423
207	0.2090795353
