iter	Passed	Remaining
0	139	139014
1	141	70513
2	143	47825
3	145	36308
4	147	29444
5	150	24868
6	152	21569
7	154	19102
8	156	17179
9	157	15639
10	159	14371
11	161	13312
12	163	12408
13	165	11650
14	167	10993
15	169	10403
16	170	9887
17	172	9418
18	174	9015
19	176	8649
20	178	8318
21	180	8019
22	182	7741
23	184	7487
24	186	7258
25	188	7047
26	189	6845
27	191	6652
28	193	6482
29	195	6321
30	197	6172
31	199	6030
32	201	5896
33	203	5770
34	205	5655
35	207	5546
36	209	5443
37	211	5349
38	213	5254
39	215	5164
40	217	5077
41	219	5001
42	221	4926
43	223	4857
44	225	4784
45	227	4719
46	229	4652
47	231	4594
48	233	4531
49	235	4477
50	237	4420
51	239	4364
52	241	4310
53	243	4267
54	245	4223
55	247	4180
56	250	4142
57	253	4111
58	255	4078
59	258	4048
60	260	4016
61	264	3995
62	266	3967
63	269	3936
64	271	3911
65	274	3887
66	277	3870
67	280	3845
68	283	3820
69	285	3794
70	288	3774
71	291	3751
72	293	3730
73	296	3708
74	298	3687
75	301	3662
76	303	3638
77	305	3615
78	308	3595
79	310	3574
80	313	3557
81	316	3542
82	318	3522
83	321	3507
84	323	3483
85	325	3462
86	327	3441
87	330	3422
88	332	3405
89	335	3389
90	337	3374
91	339	3354
92	341	3332
93	343	3312
94	345	3292
95	347	3273
96	349	3253
97	351	3238
98	353	3220
99	356	3204
100	358	3186
101	360	3170
102	362	3152
103	364	3136
104	365	3119
105	368	3103
106	370	3087
107	372	3073
108	374	3058
109	376	3043
110	378	3027
111	380	3014
112	382	3000
113	384	2986
114	386	2973
115	388	2959
116	390	2946
117	392	2934
118	394	2922
119	396	2910
120	398	2898
121	400	2885
122	402	2873
123	404	2860
124	406	2847
125	409	2838
126	411	2826
127	413	2817
128	415	2806
129	417	2795
130	419	2784
131	421	2773
132	423	2763
133	425	2752
134	428	2743
135	430	2733
136	432	2722
137	434	2712
138	436	2702
139	438	2693
140	440	2684
141	442	2675
142	444	2663
143	446	2653
144	448	2643
145	450	2633
146	452	2624
147	454	2615
148	456	2606
149	459	2601
150	461	2595
151	463	2588
152	466	2581
153	468	2574
154	470	2565
155	472	2557
156	475	2552
157	478	2547
158	480	2543
159	483	2539
160	486	2535
161	488	2528
162	491	2523
163	493	2515
164	495	2508
165	497	2499
166	499	2491
167	501	2483
168	503	2475
169	505	2466
170	507	2459
171	509	2452
172	511	2444
173	513	2436
174	515	2428
175	516	2420
176	518	2411
177	520	2403
178	522	2395
179	524	2388
180	526	2380
181	527	2372
182	529	2364
183	531	2357
184	533	2351
185	535	2344
186	537	2338
187	539	2331
188	541	2324
189	543	2318
190	545	2311
191	547	2304
192	549	2298
193	551	2292
194	553	2285
195	555	2278
196	557	2271
197	559	2264
198	560	2257
199	562	2251
200	565	2246
201	567	2240
202	569	2234
203	571	2229
204	573	2223
205	575	2218
206	577	2213
207	579	2207
208	581	2202
209	583	2196
210	585	2191
211	587	2185
212	589	2179
213	591	2174
214	593	2168
215	596	2163
216	598	2157
217	599	2151
218	601	2145
219	603	2139
220	605	2135
221	607	2130
222	609	2124
223	611	2119
224	613	2113
225	615	2108
226	617	2103
227	619	2098
228	621	2093
229	623	2088
230	626	2084
231	628	2080
232	630	2075
233	632	2070
234	635	2067
235	637	2063
236	639	2060
237	642	2057
238	645	2054
239	647	2049
240	649	2045
241	651	2040
242	653	2035
243	655	2031
244	658	2027
245	659	2022
246	661	2017
247	663	2012
248	665	2008
249	667	2003
250	670	1999
251	671	1994
252	673	1990
253	675	1985
254	678	1980
255	680	1976
256	682	1972
257	684	1967
258	686	1963
259	688	1958
260	690	1953
261	692	1949
262	694	1945
263	696	1940
264	697	1935
265	699	1930
266	701	1926
267	703	1921
268	705	1917
269	707	1913
270	709	1908
271	711	1903
272	713	1899
273	715	1894
274	717	1890
275	719	1887
276	721	1883
277	723	1878
278	725	1875
