,count,unique,top,freq,mean,std,min,25%,50%,75%,max
App,9660,9660,Photo Editor & Candy Camera & Grid & ScrapBook,1,,,,,,,
Category,9660,34,FAMILY,1832,,,,,,,
Primary_Genre,9660,49,Tools,827,,,,,,,
Rating,8196.0,,,,4.173243045387994,0.5366247303874476,1.0,4.0,4.3,4.5,5.0
Reviews,9659.0,,,,216592.56382648306,1831319.5661755966,0.0,25.0,967.0,29401.0,78158306.0
Size_MB,8432.0,,,,20.39489661547898,21.82789775677619,0.00830078125,4.6,12.0,28.0,100.0
Installs_Numeric,9659.0,,,,7777506.732270421,53758278.68352077,0.0,1000.0,100000.0,1000000.0,1000000000.0
Type,9660,4,Free,8902,,,,,,,
Price_USD,9660.0,,,,1.0991853002070395,16.851283241268305,0.0,0.0,0.0,0.0,400.0
Is_Free,9660.0,,,,0.9217391304347826,0.2685955586732624,0.0,1.0,1.0,1.0,1.0
Content_Rating,9660,7,Everyone,7903,,,,,,,
Last_Updated_Clean,9659,1377,2018-08-03,252,,,,,,,
Current_Version,9660,2819,Varies with device,1055,,,,,,,
Android_Version_Clean,9660,22,4.0,2682,,,,,,,
Has_Rating,9660.0,,,,0.8484472049689441,0.35860543464506445,0.0,1.0,1.0,1.0,1.0
Has_Reviews,9660.0,,,,0.999896480331263,0.010174461594456022,0.0,1.0,1.0,1.0,1.0
