feature,importance
Reviews,0.3740313159225027
Install_Category_Very High,0.10989847561147295
Install_Category_Very Low,0.0767771779340857
App_Age_Days,0.06968339649055391
Review_Density,0.06758595457961498
Install_Category_Medium,0.06729923783095787
Size_MB,0.04533515907307665
App_Name_Length,0.04301509576887921
Install_Category_Low,0.0426519443809346
Category_Popularity,0.03076489109395602
Android_Min_Version,0.015268905238920168
Android_Version_Score,0.015053886177505117
Content_Rating_Score,0.010426670746296138
Size_Category_nan,0.007664871066027353
Size_Category_Small,0.0073978789951535
Size_Category_Medium,0.004634504209889046
Price_Category_nan,0.0027462774839406676
Type_Free,0.0026733590744352537
Price_Numeric,0.0023880381545736437
Has_Reviews,0.0023872958917813196
Type_Paid,0.0010267423770484744
Price_Category_Low,0.0009356918095036079
Install_Category_nan,0.00018342472482350654
Price_Category_Medium,0.00012563147188024732
Price_Category_High,4.4173892187513354e-05
