feature,importance
Reviews,5.604840758196793
Has_Rating,2.8800649782450853
Category_EDUCATION,1.0270158215858898
Avg_Sentiment,0.8303944157663462
Primary_Genre_Puzzle,0.7155533372768764
Primary_Genre_Events,0.6622268922188255
Category_EVENTS,0.6622268922188255
Positive_Ratio,0.59997982077163
Category_ART_AND_DESIGN,0.5972046226503576
Primary_Genre_Casino,0.5893499816565518
Category_VIDEO_PLAYERS,0.565867152474059
Primary_Genre_Racing,0.5401325952193403
Primary_Genre_Educational,0.4986859890849139
Primary_Genre_Entertainment,0.448951255672534
Primary_Genre_Role Playing,0.4279919554555522
Avg_Subjectivity,0.3792193571611365
Primary_Genre_Casual,0.3760213742400568
Category_PERSONALIZATION,0.3672480338450692
Primary_Genre_Personalization,0.3672480338450692
Primary_Genre_Education,0.3647641067114968
Category_MAPS_AND_NAVIGATION,0.33627107174116866
Primary_Genre_Maps & Navigation,0.33627107174116866
Category_BOOKS_AND_REFERENCE,0.3273459888898608
Category_LIFESTYLE,0.32041091189713616
Primary_Genre_Beauty,0.31973382844475984
Category_BEAUTY,0.31973382844475984
Primary_Genre_Board,0.3115406212738425
Primary_Genre_Dating,0.30981221931987324
Category_DATING,0.30981221931987324
Primary_Genre_Parenting,0.29896750318012405
Category_PARENTING,0.29896750318012405
Primary_Genre_Tools,0.2875973663943767
Category_TOOLS,0.2875973663943767
Category_TRAVEL_AND_LOCAL,0.27747153939157637
Primary_Genre_Travel & Local,0.27747153939157637
Primary_Genre_Word,0.26203558139549743
Primary_Genre_Video Players & Editors,0.25564714843796454
Category_BUSINESS,0.23057020706689094
Primary_Genre_Business,0.23057020706689094
Category_HEALTH_AND_FITNESS,0.20523192965722437
Primary_Genre_Shopping,0.19926437108538064
Category_SHOPPING,0.19926437108538064
Content_Rating_Unrated,0.19805734926552024
Subjectivity_Std,0.18507378730970267
Primary_Genre_Art & Design,0.18504604901269234
Primary_Genre_News & Magazines,0.18331954343676432
Category_NEWS_AND_MAGAZINES,0.18331954343676432
Primary_Genre_Communication,0.18200350805933774
Category_COMMUNICATION,0.18200350805933774
Primary_Genre_Arcade,0.179070946292044
Primary_Genre_Comics,0.16890028408053956
Category_COMICS,0.16890028408053956
Category_ENTERTAINMENT,0.16750123098327496
Primary_Genre_Card,0.15834437937563386
Category_FAMILY,0.15427830867801082
Content_Rating_Everyone 10+,0.15352923441569713
Category_SPORTS,0.15346321895509504
Primary_Genre_Lifestyle,0.15150163863027685
Content_Rating_Everyone,0.13941681513364018
Primary_Genre_Music,0.13879582590816925
Category_HOUSE_AND_HOME,0.1317298683414486
Primary_Genre_House & Home,0.1317298683414486
Primary_Genre_Social,0.1261593712142974
Category_SOCIAL,0.1261593712142974
Content_Rating_Teen,0.12426576703449406
Is_Free,0.11651885591466918
Primary_Genre_Strategy,0.1097655454659842
Primary_Genre_Trivia,0.10677863973703752
Primary_Genre_Medical,0.08917158984112039
Category_MEDICAL,0.08917158984112039
Size_MB,0.08770435191847016
Primary_Genre_Health & Fitness,0.08477608626871098
Review_Count,0.07936056394006236
Primary_Genre_Books & Reference,0.06555733930956865
Category_FINANCE,0.06425991247333057
Primary_Genre_Finance,0.06425991247333057
Sentiment_Std,0.05683658598260594
Primary_Genre_Photography,0.04961375972473483
Category_PHOTOGRAPHY,0.04961375972473483
Category_LIBRARIES_AND_DEMO,0.04706612725673255
Primary_Genre_Libraries & Demo,0.04706612725673255
Price_USD,0.04578193693360834
Primary_Genre_Simulation,0.045285576162061546
Primary_Genre_Adventure,0.03727993353452225
Content_Rating_Mature 17+,0.03645659566938457
Primary_Genre_Auto & Vehicles,0.03264595859772503
Category_AUTO_AND_VEHICLES,0.03264595859772503
Category_FOOD_AND_DRINK,0.01912837915046169
Primary_Genre_Food & Drink,0.01912837915046169
Primary_Genre_Weather,0.016865387969457503
Category_WEATHER,0.016865387969457503
Has_Reviews,0.01638307595031623
Category_PRODUCTIVITY,0.011752432928082205
Primary_Genre_Productivity,0.011752432928082205
Primary_Genre_Sports,0.010900674913831569
Category_GAME,0.009261990785831741
"Primary_Genre_February 11, 2018",0.00013088782194314456
Content_Rating_Unknown,0.00013088782194314456
