feature,importance
Reviews,0.6530827350230536
Positive_Ratio,0.03883665471665475
Avg_Sentiment,0.0379120899982659
Size_MB,0.02739528805899027
Avg_Subjectivity,0.023674357925787145
Subjectivity_Std,0.023665710249288086
Category_COMMUNICATION,0.019008127977252633
Category_NEWS_AND_MAGAZINES,0.015764202354731287
Primary_Genre_News & Magazines,0.015214076358983655
Primary_Genre_Communication,0.014791895690813937
Sentiment_Std,0.01457737525568825
Primary_Genre_Productivity,0.012373591469162927
Category_ENTERTAINMENT,0.012309739325995632
Category_PRODUCTIVITY,0.011674214156440309
Primary_Genre_Entertainment,0.010860725594209131
Review_Count,0.00982897442362906
Category_BOOKS_AND_REFERENCE,0.009354385209024353
Primary_Genre_Books & Reference,0.007363074476311441
Category_TOOLS,0.005836777882375123
Category_TRAVEL_AND_LOCAL,0.004990608180875756
Primary_Genre_Tools,0.003337423027266218
Primary_Genre_Arcade,0.003159065152339737
Content_Rating_Everyone,0.0028618138152951057
Primary_Genre_Casual,0.0026227487510805864
Content_Rating_Teen,0.0025565221275632584
Primary_Genre_Video Players & Editors,0.002545661222749955
Category_GAME,0.002283714658244848
Category_VIDEO_PLAYERS,0.0022505239791062687
Primary_Genre_Travel & Local,0.0016621124679345063
Content_Rating_Everyone 10+,0.0013851218546219483
Category_SOCIAL,0.0010386648284078951
Primary_Genre_Social,0.000642881654711625
Primary_Genre_Photography,0.0005663836851020841
Category_PHOTOGRAPHY,0.0004818307461128996
Primary_Genre_Personalization,0.0004652010654829664
Category_FAMILY,0.00039200955794769604
Primary_Genre_Racing,0.00033221277351222603
Content_Rating_Mature 17+,0.0002304642714004945
Primary_Genre_Puzzle,0.00022069180520230565
Category_BUSINESS,0.00021902481571028362
Primary_Genre_Sports,0.00020623362515746134
Primary_Genre_Strategy,0.0002042010912376296
Category_PERSONALIZATION,0.00019917116169064405
Category_SPORTS,0.00018298240103001488
Primary_Genre_Simulation,0.00017892061380299747
Primary_Genre_Business,0.00017217351098261884
Primary_Genre_Role Playing,0.00012682708181461466
Category_SHOPPING,0.0001255008011753401
Category_MAPS_AND_NAVIGATION,9.005734513822203e-05
Primary_Genre_Finance,7.620820534943701e-05
Primary_Genre_Shopping,6.663401224596584e-05
Is_Free,5.637676730337611e-05
Primary_Genre_Music,5.30670191443907e-05
Primary_Genre_Weather,5.014297971509906e-05
Category_FINANCE,4.558165331138065e-05
Category_EDUCATION,4.1819404095967795e-05
Category_LIFESTYLE,3.820141653694029e-05
Primary_Genre_Maps & Navigation,3.549098004948184e-05
Primary_Genre_Educational,3.479406822286392e-05
Category_WEATHER,3.4512604373757337e-05
Price_USD,3.147792341388085e-05
Primary_Genre_Education,2.848327550620639e-05
Primary_Genre_Lifestyle,2.4547125642451274e-05
Primary_Genre_Word,2.1523911765386153e-05
Primary_Genre_Board,1.3935674607597656e-05
Category_HEALTH_AND_FITNESS,1.348294673880198e-05
Category_COMICS,1.3282213072174487e-05
Primary_Genre_Comics,1.2515953227455299e-05
Primary_Genre_Health & Fitness,1.2031125357983477e-05
Primary_Genre_Adventure,8.081783229822783e-06
Primary_Genre_Card,7.020490873542343e-06
Category_FOOD_AND_DRINK,6.525883786853099e-06
Primary_Genre_Food & Drink,2.6793036137699434e-06
Category_PARENTING,2.161642148501351e-06
Category_DATING,2.0333046032667162e-06
Primary_Genre_Dating,1.7870614074721612e-06
Primary_Genre_Casino,1.3878335734855256e-06
Category_AUTO_AND_VEHICLES,1.2457401015854862e-06
Category_HOUSE_AND_HOME,1.186542074745947e-06
Primary_Genre_Auto & Vehicles,1.1360403371801352e-06
Category_MEDICAL,1.0955134326302981e-06
Primary_Genre_Medical,1.0790098393149347e-06
Primary_Genre_House & Home,9.45307796803626e-07
Primary_Genre_Parenting,8.386142116284345e-07
Primary_Genre_Trivia,6.256609682919724e-07
Category_EVENTS,4.201202132178197e-07
Primary_Genre_Art & Design,2.922560092317753e-07
Primary_Genre_Events,1.908479224255204e-07
Primary_Genre_Beauty,1.255696608133452e-07
Primary_Genre_Libraries & Demo,1.204943472188764e-07
Category_LIBRARIES_AND_DEMO,8.400258688268013e-08
Category_BEAUTY,7.303789492491988e-08
Primary_Genre_Music & Audio,1.0403633551701007e-08
Content_Rating_Unrated,5.6696476765587216e-11
Has_Reviews,0.0
