feature,importance
Reviews,0.8113142907517705
Has_Rating,0.15048933169439802
Size_MB,0.012117933444263491
Price_USD,0.0019135034571061645
Category_FAMILY,0.0009799740562787
Content_Rating_Everyone,0.0009761111870881912
Is_Free,0.00084172815518624
Primary_Genre_Education,0.000724356310152082
Primary_Genre_Entertainment,0.0006447729988178615
Category_GAME,0.0005665970439746588
Sentiment_Std,0.0004970167105122415
Avg_Sentiment,0.0004951284139089003
Category_TOOLS,0.0004768466568593192
Primary_Genre_Tools,0.00047218732589828915
Category_LIFESTYLE,0.000439227726576915
Primary_Genre_Casual,0.0004387764450283635
Primary_Genre_Lifestyle,0.0004328577914140705
Content_Rating_Teen,0.00041588299759139254
Category_FINANCE,0.0003809338309201817
Category_HEALTH_AND_FITNESS,0.0003805870923672514
Avg_Subjectivity,0.00036856384082051903
Subjectivity_Std,0.0003563512881653043
Review_Count,0.00034679896507424133
Primary_Genre_Health & Fitness,0.0003439041919730264
Primary_Genre_Finance,0.0003409870475994151
Category_PRODUCTIVITY,0.0003275531628199627
Content_Rating_Mature 17+,0.00032695901566278074
Positive_Ratio,0.0003253754154217534
Primary_Genre_Productivity,0.00032144387838608417
Primary_Genre_Simulation,0.00031477290141677407
Category_MEDICAL,0.00029645595197388746
Primary_Genre_Arcade,0.0002910494266270671
Primary_Genre_Medical,0.00028927294406317445
Primary_Genre_Sports,0.0002877223121222152
Category_BUSINESS,0.00028647718655049656
Content_Rating_Unknown,0.000279229634411693
Category_VIDEO_PLAYERS,0.0002772635344892149
Category_SPORTS,0.00027488020361531067
Primary_Genre_Business,0.000267323996904722
Primary_Genre_Racing,0.00026152949489714755
"Primary_Genre_February 11, 2018",0.0002606241762949872
Category_COMMUNICATION,0.0002604351889956952
Primary_Genre_Communication,0.00025669113797273336
Primary_Genre_Video Players & Editors,0.000251553349127977
Primary_Genre_Photography,0.00024542175032394437
Category_PHOTOGRAPHY,0.00024275595665897192
Primary_Genre_Trivia,0.00023952167325617618
Content_Rating_Everyone 10+,0.0002372036489342422
Primary_Genre_Educational,0.00023530842705689445
Category_NEWS_AND_MAGAZINES,0.00023121382300824025
Category_PERSONALIZATION,0.00022946919621604812
Category_BOOKS_AND_REFERENCE,0.00022939293524929235
Primary_Genre_Personalization,0.00022695941315182614
Primary_Genre_News & Magazines,0.00022321202099378595
Primary_Genre_Books & Reference,0.00022027290203490533
Primary_Genre_Puzzle,0.00021413776368019993
Category_MAPS_AND_NAVIGATION,0.00019692621663347244
Has_Reviews,0.00019167749679619022
Primary_Genre_Social,0.00018515551934891042
Primary_Genre_Maps & Navigation,0.00017693966629366714
Category_SOCIAL,0.00016947315354571142
Primary_Genre_Dating,0.0001665545892798862
Category_EDUCATION,0.00016245994114300313
Primary_Genre_Strategy,0.00016123146952815742
Primary_Genre_Food & Drink,0.00016040456521572213
Primary_Genre_Travel & Local,0.00015947269090546394
Category_TRAVEL_AND_LOCAL,0.0001575581135139531
Primary_Genre_Auto & Vehicles,0.00015456715518899922
Category_DATING,0.00015264355245560865
Category_COMICS,0.00015234291232307345
Category_FOOD_AND_DRINK,0.00014627878835180954
Primary_Genre_Shopping,0.00014519825609081018
Category_PARENTING,0.00014334074831825151
Primary_Genre_Parenting,0.0001431736877113592
Category_AUTO_AND_VEHICLES,0.00013875770358312824
Primary_Genre_Comics,0.00013542002920040102
Category_ART_AND_DESIGN,0.0001280888476664305
Category_SHOPPING,0.00012790458885051376
Primary_Genre_Libraries & Demo,0.00012119877815795839
Primary_Genre_Adventure,0.00011355422194609919
Category_LIBRARIES_AND_DEMO,0.00011215864932695103
Primary_Genre_Art & Design,0.00011137530801427114
Primary_Genre_Role Playing,0.00011125636214615796
Primary_Genre_Board,9.952776493710905e-05
Primary_Genre_Card,9.766790288378354e-05
Primary_Genre_Music,9.573784150001302e-05
Category_ENTERTAINMENT,9.119193937585133e-05
Category_BEAUTY,7.4816575640058e-05
Primary_Genre_Weather,7.105752408355727e-05
Category_EVENTS,7.018105773953007e-05
Primary_Genre_House & Home,6.674297319064533e-05
Primary_Genre_Beauty,6.58672756502447e-05
Category_WEATHER,6.53895810243462e-05
Primary_Genre_Events,6.21821119982555e-05
Category_HOUSE_AND_HOME,5.5434476353011843e-05
Primary_Genre_Word,2.689622236656795e-05
Primary_Genre_Casino,2.6244998076280767e-05
Primary_Genre_Music & Audio,1.9444783642589325e-05
Content_Rating_Unrated,3.7211393881550284e-07
